feature,importance
jobType_JANITOR,0.21828490267924405
yearsExperience,0.18671936667627856
milesFromMetropolis,0.12977109331630743
major_NONE,0.08562541642551885
jobType_JUNIOR,0.07476353234827755
jobType_CEO,0.04849360580867969
jobType_SENIOR,0.040219009242070364
industry_FINANCE,0.028979129353585036
industry_EDUCATION,0.02856866027978763
industry_OIL,0.02523389377335877
jobType_CFO,0.023344968783593285
jobType_CTO,0.02059375976190936
industry_SERVICE,0.015828408609264374
degree_DOCTORAL,0.01403347604865227
industry_WEB,0.00988149067913513
jobType_MANAGER,0.009699783900405242
degree_NONE,0.00650031445754324
major_ENGINEERING,0.005839066730493747
industry_AUTO,0.005362952985320299
degree_MASTERS,0.004338331303941706
major_BUSINESS,0.0042475754820801076
jobType_VICE_PRESIDENT,0.004209030684768335
industry_HEALTH,0.002649749175931941
major_LITERATURE,0.0023010255373743954
major_MATH,0.001321338326647464
degree_HIGH_SCHOOL,0.0009533420361023247
major_BIOLOGY,0.00067514104266543
major_CHEMISTRY,0.0006698854435962853
major_PHYSICS,0.000328664021099582
degree_BACHELORS,0.0002850238361134445
major_COMPSCI,7.29275902456723e-05
companyId_COMP36,8.97728039249135e-06
companyId_COMP13,8.286427354832815e-06
companyId_COMP46,7.843429659317125e-06
companyId_COMP9,7.501134878196595e-06
companyId_COMP24,6.001546903768378e-06
companyId_COMP34,5.954550601376261e-06
companyId_COMP56,5.7714107665487696e-06
companyId_COMP30,5.568066502756719e-06
companyId_COMP62,5.387795538843107e-06
companyId_COMP21,5.295029977085056e-06
companyId_COMP26,5.050009762935659e-06
companyId_COMP61,4.966779130501442e-06
companyId_COMP60,4.892852678731804e-06
companyId_COMP42,4.858598042816898e-06
companyId_COMP48,4.794071646516234e-06
companyId_COMP38,4.679292100476707e-06
companyId_COMP44,4.670910466625776e-06
companyId_COMP15,4.329418325347373e-06
companyId_COMP20,4.326807134729632e-06
companyId_COMP17,4.144081974114966e-06
companyId_COMP53,4.0675395319888855e-06
companyId_COMP1,4.024982091317875e-06
companyId_COMP12,3.828480168613733e-06
companyId_COMP47,3.5938868153381548e-06
companyId_COMP57,3.5864052335099146e-06
companyId_COMP10,3.4808957828858005e-06
companyId_COMP11,3.2993357290911257e-06
companyId_COMP55,3.2151999606801963e-06
companyId_COMP31,3.1947681286045853e-06
companyId_COMP28,3.194010673505999e-06
companyId_COMP4,3.1415427409812148e-06
companyId_COMP2,3.0932362568350513e-06
companyId_COMP18,2.980912528372296e-06
companyId_COMP6,2.749950868909199e-06
companyId_COMP59,2.7040592734834195e-06
companyId_COMP52,2.6640705811290285e-06
companyId_COMP58,2.630701828746723e-06
companyId_COMP32,2.5786129498709337e-06
companyId_COMP16,2.5407137705451634e-06
companyId_COMP22,2.357008449687053e-06
companyId_COMP33,2.3118300557917326e-06
companyId_COMP39,2.1411113235112765e-06
companyId_COMP27,2.0144297867223175e-06
companyId_COMP23,2.0140882756830497e-06
companyId_COMP19,1.9740685569289327e-06
companyId_COMP35,1.9005248500352052e-06
companyId_COMP49,1.7962437995258597e-06
companyId_COMP54,1.76178044153098e-06
companyId_COMP14,1.7250389293079175e-06
companyId_COMP8,1.6336569169538204e-06
companyId_COMP41,1.271952111673589e-06
companyId_COMP43,1.1425891309554994e-06
companyId_COMP37,1.0468260645851608e-06
companyId_COMP29,1.0410534259414903e-06
companyId_COMP5,1.0401018861310231e-06
companyId_COMP45,1.032073998544817e-06
companyId_COMP51,9.327549484744654e-07
companyId_COMP50,8.156325965145474e-07
companyId_COMP3,7.458053769312216e-07
companyId_COMP40,3.734088867323513e-07
companyId_COMP7,1.9288144403885246e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
